Project,ORR,Org_Location,Organization_Name,State,County,Type,Category,Description,FY,Municipality,Sponsor,"6. Which part of LWCF's mission does the project relate to? 
Select all that apply. - Other (please describe): - Text",Program?," Category (if ""other)",Cost_Range,Estimate_Cost,type_rec,"What other types of recreation would the project support, if ""other""",demographics,app_submitted,shovel-ready,"If project is not shovel ready, what is the projected timeline to get it off the ground?",private_match,"If yes, please describe confirmed funders and level of commitment.","Based on the total cost of the project and the private match secured to date, how much LWCF funding will be required to complete the project?",Please comment on the project’s fit with existing state Statewide Comprehensive Outdoor Recreation Plan (SCORP) or local recreation plans.,Please comment on the project’s current buy-in from state and/or local public agencies committed to its future management.,"Please comment on the project’s current support from local, regional or statewide community and/or elected officials (i.e. NGOs and politicians).","Is the project solving for a broader outdoor recreation need (e.g. improved access for park-poor communities, rural development)? Please explain."
Big Ditch Park Lights and Signage,,New Mexico,Silver City MainStreet,New Mexico,Grant County,Combination (Acquisition and Development),"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)",The project would replace the 20 year old non-working park lights in the Big Ditch Park so it can be used safely and used by more events in the evenings.,FY23 and Beyond,Silver City,Town of Silver City and Silver City Main Street,,State and Local Assistance,,"$0 - $250,000",35000,Archery,,"Rural,Urban,Low-income,Communities of color,LGBTQ,Youth,Adults,Senior",New Concept,Yes,,No,,,,The Town of Silver City has agreed to help install lights if funding can be found to purchase the lights.,,This trail and park in the middle of Silver City is a valuable resource to  attract shoppers to our downtown area.
Bluewater Creek ACEC,,New Mexico,BLM- Rio Puerco Field Office,New Mexico,Cibola County,Acquisition,Acquisition,Acquire private lands in/adjacent to BLM managed public lands at Bluewater Creek ACEC (BLM Las Cruces Unit). ,FY23 and Beyond,Grants,BLM,,Bureau of Land Management,,"$500,001 - $750,000",500000,"Backpacking/Hiking,Fishing,Hunting,Wildlife Watching,Rock Climbing,Archery",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Unknown,,Yes,"$280,000 from the BLMs Deferred Maintenance Program.",,Project is aligned with the BLMs Resource Management Plan and also the Bluewater Creek ACEC Protection Plan.,"BIA- Baca Prewitt Chapter of the Navajo Nation has expressed a willingness to exchange BLM lands near Prewitt, NM  for BIA lands within the footprint of the Creek for inclusion to the ACEC. This will assist in providing public access from the mouth of the creek to the dam (Bluewater Reservoir).","Support from the following entities has been expressed: BLM Interdisciplinary team, Back Country Horsemen, Rocky Mountain Youth Corps, Cottonwood Gulch Expeditions, New Mexico Volunteers for the Outdoors.","Yes, local impoverished gateway communities will have increased access and developed facilities providing recreational and educational opportunities."
Brookside Skate Park Rebuild,,New Mexico,City of Farmington Parks and Recreation,New Mexico,San Juan County,Development,Skate Parks,"Brookside Skate Park is the oldest skating facilities in the four corners region. On a daily average thousands of youth and adults flood the park and during the summer that number doubles as people visit from nearby communities. Many aspects of the skate park reflect the heavy use-- concrete lips have risen caused by cracks; many of the 'trick' elements are deficient and in disrepair; and finally the park lacks adequate infrastructure such as lighting, to provide a safe experience. Years of deferred maintenance have created issues at the skate park that can only be remedied by a total rebuild.",FY22,Farmington,City of Farmington,,State and Local Assistance Program,,"$750,0001 - $1,000,000",,Other (please describe):,skating sports and athleticism,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,1 year,No,,Unknown,"The State SCORP cites Attracting Out of State Visitors as a priority, which this would be a part of. Likewise the Northwest region the City of Farmington resides in is cited as being low in local facilities meeting outdoor recreation needs. The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development fund, of which this project is a priority.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,The city landscape architect has worked very closely with the local skating community to identity issues and solutions. This community has offered their diverse skillsets to address concrete issues and apply to grants. They are a very dedicated group.,
Burns Pond Fishing Access Enhancement,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,Harney County,Development,Fishing/Boardwalk,Enhance fishing access and trail access including ADA accommodations and parking lot improvements including ADA parking.,FY23 and Beyond,,Oregon Dept of Fish and Wildlife,,State and Local Assistance Program,,"$0 - $250,000",10000,"Fishing,Wildlife Watching",,"Rural,Low-income,Youth,Adults,Senior,Disabled",New Concept,No,,Unknown,,"$0 - $250,000",Increased public access. Increased ADA accessibility.,,,
CDT Land Acquisition,,Colorado,CDTC,New Mexico,Cibola County,Combination (Acquisition and Development),Other (please describe on next page):,Acquisition of lands for access to the Continental Divide National Scenic Trail (CDT). (BLM Rio Puerco Unit),FY23 and Beyond,"Between Grants and Pie Town, NM and near Cuba NM",BLM,,Bureau of Land Management,Completion of the CDT,"$1,750,000+",2.5,"Backpacking/Hiking,Biking,Equestrian,Hunting,Skiing/Snowboarding,Wildlife Watching,Archery",,"Rural,Urban,Low-income,Communities of color,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,Finalization of the trial location and identification of willing sellers.,No,,,This project fits into all four of the current NM SCORRP Prioirties.,"In most areas we have buy in from local communities and local businesses.  The most affected communities : Cuba and Grants, NM are designated gateway communities of the CDT and therefore are already committed to supporting the concept of the CDT through their community.  Future work would be focused on maintaining and growing support both from the general public and local elected officials. The BLM, USFS, and NPS, as appropriate, are all supportive of the projects.",See above.  There is tremendous support from the local communities for the development of the CDT.  Working groups in both project areas meet monthly and support ongoing field based work and relationship building.,"In some ways - yes.  In other ways it supports development of infrastructure that attracts out of town visitors. The CDNST is a congressionally designated trail that has the potential to support local communities through development of recreation areas, (which support economic development, public health and other values) as well as attracting out of town visitors to visit and support local businesses.  Because the CDNST is primarily in remote rural communities- the greatest influence is on those rural communities, but due to its nature of attracting out of town visitation-and the proximity to major urban areas in New Mexico- it has the potential to serve as a recreational resource for urban centers as well."
Columbia River Estuary Public Crabbing Pier,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,Clatsop County,Fishing/Boardwalk,,"This project would construct an ADA accessible fishing/crabbing pier on the Columbia River Estuary. Recreational access to this area is currently limited. This project would provide additional recreation activities at Fort Stevens State Park and would provide significant benefit to the local economy. A one-percent increase in use of Fort Stevens would bring 15,000 additional visitors to the area and generate an additional $993,000 in annual personal income impacts for the local economy.",FY23 and Beyond,"Hammond, OR",Oregon Department of Fish and Wildlife and other sponsors,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance Program,,Unknown,,"Backpacking/Hiking,Boating,Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting,Other (please describe):",Crabbing,"Rural,Low-income,Youth,Adults,Senior,Disabled",New Concept,,,No,,Unknown,This project would provide ADA accessible recreational fishing/crabbing opportunities in an area with limited access.,Project is supported by Oregon Department of Fish and Wildlife,Letter of support received from City of Warrenton Mayor.,"Rural economic development, ADA accessible."
Community Recreation and Athletic Field Improvements,,New Mexico,Village of Ruidoso,New Mexico,Lincoln County,Combination (Acquisition and Development),"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","The project would redevelop a combination of Municipal School and Village of Ruidoso Property to maximize use and increase recreation amenities that benefit the Community's residents, neighboring communities, and tourists.",FY23 and Beyond,"Ruidoso, NM",Village of Ruidoso,,State and Local Assistance Program,,"$1,750,000+",10000000,Archery,,"Rural,Low-income,Communities of color,LGBTQ,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,Planning would take 8-12 Months with Construction possible with in 18-24 months.  Project could be completed in phases which could speed up the process.,Yes,Local Government Match is a possibility. No funds have been committed but the Village is working towards performing some of the work in the near future.,,"Objective 4.1: of the 2016-2020 SCORP States: Support, promote, and encourage cultural festivals and outdoor recreational events.
In the 2019 Village of Ruidoso Comprehensive Plan  POLICY 1.1. States: Expand and enhance parks and recreation opportunities.
in the 2016 Southeast Regional Economic Development Plan, Policy 1.3 states: Expand the breadth and depth of outdoor Recreational Opportunities, facilities and Competitive events","Ruidoso serves as a tourist draw for the entire county and this project would be built on a combination of Village owned property as well as Property owned by the Municipal School District. All parties would benefit from increased direct and indirect revenue from increased tourism, activities for youth and adults, as well as increased tourism from sporting events.","Increased Outdoor Recreation was a goal of the 2016 South Central Mountain Economic Development Association's Economic Development Plan. Leaders from Lincoln and Otero Counties as well as surrounding municipalities participated in preparing this plan.Intermediate Goals were listed as: (Year 2-3) • Continued growth in regional tourism revenues Capital Outlay projects including new hiking/biking trail construction, recreation courts and playing fields open and available for regional event use completed and in us",The project is solving a shortage in athletic fields and open space for not only the Village of Ruidoso but for the needs of youth and adults' in the entire county. Ruidoso serves as the youth and adult sport hub of the county as well as a sporting attraction for Southern NM and West Texas.
Community Walking Trail,,New Mexico,Baahaali Chapter,New Mexico,McKinley County,Planning,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","This project would develop a community walking trail within a 5-acre site.  The trail will include outdoor exercise equipment and identification of natural flora (trees, shrubs, plants, etc.) and how they were and still be used for medicinal purposes, for natural dyes in Navajo weaving and eatable plants.",FY23 and Beyond,Navajo Nation,"New Mexico, US",Exercise & Cultural Education,State and Local Assistance,,"$0 - $250,000",,"Backpacking/Hiking,Wildlife Watching,Archery",,"Rural,Low-income,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Yes,,No,,,The project will fit in with Health & Wellness along with cultural education and knowledge of plan identification related to medicinal purposes and other cultural knowledge i.e. plants used for wool dying and rug weaving and eatable plants.,"This project is a new idea for the community.  There has not been any public hearings related to the project but there has been a lot of buy-in from the elders at the Senior Center, parents and children from the local Head Start Center and the chapter house. (which serves as a community center in the area).","The Chapter officials, the Baahaali Senior Advisory Council and the local Community Land Use Planning Committee fully support the the walking trail.","The trail will be within the 5-acre compound where the Senior Center, Head Start Center and Chapter House are located."
Crooked Creek Fee Fishing Area Upgrades,,Virginia,Virginia Department of Wildlife Resources,Virginia,Carroll County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The Crooked Creek Fee Fishing Area is located on Crooked Creek within the Crooked Creek Wildlife Management Area in Carroll County, Virginia.  Daily permits are sold by the Department of Wildlife Resources from the first Saturday in April through September 30 of each year.  Catchable sized trout are stocked in the creek multiple times each week for anglers. This fee fishing area attracts thousands of anglers from across Virginia and from many states.  Major renovations need to be completed to improve parking, safety and access for anglers who visit the area.",FY23 and Beyond,,Virginia Department of Wildlife Resources,,State and Local Assistance Program,,"$0 - $250,000",80000,"Fishing,Hunting,Wildlife Watching",,"Rural,Urban,Low-income,Communities of color,Immigrants,Youth,Adults,Senior,Disabled",New Concept,No,,No,,"$0 - $250,000",This fits within the Crooked Creek Wildlife Management Area's Master Plan which was recently developed by the Virginia Department of Wildlife Resources.,Carroll County has been a partner with the Virginia Department of Wildlife Resources on the Crooked Creek Fee Fishing Area for many years.  They would be supportive of the upgrades.,"Since this is a new concept, that support has not been received yet.  However, it is likely that the local and state authorities would be very supportive.",
Daniel Webster Park,,New Mexico,"Parks & Recreation Dept, City of Albuquerque",New Mexico,Bernalillo County,Development,State/Local park creation,"The project would develop Daniel Webster Park, an all-inclusive urban park in an under-served area.",FY23 and Beyond,City of Albuquerque,City of Albuquerque,,State and Local Assistance Program,,"$500,001 - $750,000",2000000,"Biking,Playground",,"Urban,Low-income,Communities of color,Youth,Adults,Senior,Disabled",New Concept,Yes,,Yes,,"$500,001 - $750,000",Consistent,Full buy-in,Strong support,Yes
Ditches of Dona Ana,,New Mexico,Southern New Mexico Trail Alliance,New Mexico,Doña Ana County,Planning,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","The project would improve existing trails, build trailheads, install wayfinding, and safety features along the ""Ditches"" (i.e. irrigation canals) in Las Cruces and Dona Ana County.",FY23 and Beyond,Las Cruces,"City of Las Cruces, Dona Ana County",Improving non-motorized transportation network,State and Local Assistance Program,,Unknown,,"Backpacking/Hiking,Biking,Equestrian,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Unknown,,Unknown,,Unknown,"Will designate and improve existing paths along irrigation canals into official trails. This will create hundreds of miles of trails throughout Dona Ana County which will connect all of the towns throughout the County including Las Cruces and neighboring El Paso, TX.","The City of Las Cruces, Village of Mesilla, and Dona Ana County have begun improving some of the Dithces. Las Cruces voters approved a GO Bond to begin improvements but more is needed to complete the project and expand beyond the City Limits.",Support from NGO's and elected officials. The Ditches were identified as a priority in the Dona Ana Trail Summit. These trails would connect communities throughout the county to each other and public lands including Organ Mountains Desert Peaks National Monument.,These trails will create an extensive and well connected non-motorized recreation and transportation network in park-poor and rural communities.
Donna / Little Donna Lakes Trail,,Alaska,Department of Fish & Game,Alaska,Southeast Fairbanks Census Area,Combination (Acquisition and Development),"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",Donna & Little Donna Lakes are popular enhanced fisheries.  Each lake has a public-use cabin available that are very popular as well.  These lakes are reached via an approximately 3.75 mile long trail to Donna Lake and another 1.2 mile trail continuing on to Little Donna Lake.  Over the years these trails have deteriorated with increased use resulting in difficult access.  This project would create a sustainable trail by hardening and possibly realigning portions of the trails to allow for much easier and safer access to these popular areas.,FY23 and Beyond,"30 miles east of Delta Junction, Alaska",Alaska Department of Fish & Game - Division of Sport Fish,mitigating environmental damage,State and Local Assistance Program,,"$250,001 - $500,000",,"Backpacking/Hiking,Biking,Boating,Equestrian,Fishing,Hunting,Motorized Use,Skiing/Snowboarding,Canoeing, Kayaking and Rafting,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Yes,,No,,"$250,001 - $500,000",,,,
Downtown to Animas River Pedestrian Promenade,,New Mexico,City of Farmington,New Mexico,San Juan County,Planning,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","The City of Farmington is finalizing 6 block, $12 million downtown streetscaping revitalization project. As a part of the ongoing vision for this project, we would like to see a connection between downtown and the river trails corridor a few blocks south of the Main Street project. As such, we wish to create a walkable, aesthetically pleasing promenade from downtown to the river.",FY22,Farmington,City of Farmington,,State and Local Assistance Program,,"$500,001 - $750,000",,"Backpacking/Hiking,Boating,Canoeing, Kayaking and Rafting,Wildlife Watching,Playground",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,Within a year or so from completion of planning for the promenade.,No,,"$250,001 - $500,000","The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs. Likewise, the City of Farmington has prioritized the downtown core as a key project for the Community.","The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property. Likewise, our Community Works department is capable of maintaining and managing streets and sidewalks.","The City's MRA Commission which manages downtown is supportive of this project, and we likewise can get technical support from the New Mexico Main Street program.",
Eagle Nest Lake State Park --Cimmaron Canyon State Park Connector Trail,,New Mexico,Village of Eagle Nest,New Mexico,Colfax County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","The Village of Eagle Nest would like New Mexico State Parks to create a trail conecting these two state parks. To go from one park to the other, you are required to drive the 2 miles. The Village of Eagle Nest would benefit economically by a trail being constructed connecting the two parks by a non-motorized trail.",FY23 and Beyond,Eagle Nest,New Mexico State Parks,,State and Local Assistance Program,,"$750,0001 - $1,000,000",,"Backpacking/Hiking,Biking,Boating,Campground + Hospitality,Equestrian,Fishing,Hunting,Canoeing, Kayaking and Rafting,Wildlife Watching",,"Rural,Communities of color,LGBTQ,Tribal/Native American,Youth,Adults,Senior",New Concept,No,Require funds for planning and design. 1 year 2022,Unknown,,,It fits well with New Mexico's outdoor plans by increasing access to non-motorized trails connecting two busy state parks.,"The current state parks director, Christy Tafoya, is very interested in pursuing this project. BLM has also expressed an interest.","Total project buy-in by the current local administration, State Parks director, and the local ""Friends"" group for Eagle Nest Lake State Park.","This project will benefit the local community by providing joint access to two state parks by a the proposed connecting trail. The area affected is poor, rural and sees frequent out of state visitors. The village depends on the tourism brought in by use of these two parks. Creating better access to both parks by this proposed project will benefit area youth and seniors."
Edisto River - Green Pond Church Landing,,South Carolina,,South Carolina,Colleton County,Combination (Acquisition and Development),"Beach/Harbor/Marina (boathouses, beaches piers/pavilions, boat launches)","The boat landing in our county at the end of Salcro Lane off Highway 61 in Colleton County South Carolina (GPS Coordinates N 38.1270 W 80.6129, locally known as Green Pond Church Landing and Bradley's Fish Camp Landing) has become inaccessible. High water events deposited a great deal of sand at the base of the ramp rendering it unusable. The functionality of this access point would be relatively easy and inexpensive to restore. The adjacent property owner, Mr. Jackie Jeffcoat, is eager to sign an agreement that would: allow expansion of the public facilities, allow public access, and approve any dredging needed.  Mr. Jeffcoat has expressed a willingness to travel from his home in Lexington County to meet with the appropriate people to work out details on an agreement. The Edisto is considered the longest free-flowing blackwater river in the United States and one of the longest worldwide.  This landing is utilized by kayakers, canoers, photographers, fishermen and fisherwomen, birdwatchers, swimmers, as well as others launching small crafts. The Green Pond Church ramp/access point to the Edisto River provides public access to an approximately 29 mile stretch of Edisto River that is currently not accessible by the public. About the same time Green Pond Landing became unusable, the landing at Whetstones Crossroads (on the Bamberg/Colleton county line) was closed to the public. Currently there is not a useable public access point between Zig Zag Landing in Bamberg County and Weeks Landing in Dorchester County.",FY23 and Beyond,,,,State and Local Assistance,,"$0 - $250,000",,"Boating,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Sailing/Motorboating",,"Rural,Low-income,Black Americans,Communities of color,Immigrants,Youth,Adults,Senior,Disabled",New Concept,Unknown,,Unknown,,"$0 - $250,000","The 2019 South Carolina SCORP states, ""In terms of recreation needs, some of the most  common  themes  in  each  meeting  included  better access  facilities  at  the  Edisto  River"" . This project would specifically address one major access concern on the Edisto River.","The issue of the lack of access to this long section of Edisto River has been discussed at length during the Edisto River Recreation Management Plan Public Input Meetings. Kevin Griffin the Colleton County Administrator, Dorchester County Parks and Recreation Director Eric Davis, as well as others are familiar with the project. They have shown support for the project, but funding and resources have been the issue preventing the project from progressing. The following entities are aware of the lack of access issue and landing improvement project: Dorchester County Parks and Recreation, Colleton County Parks and Recreation, National Park Service, South Carolina Parks, Recreation, and Tourism, Dorchester County Public Works, South Carolina Department of Natural Resources, Summerville Journal Scene, Audubon Society, Edisto River Canoe and Kayak Commission, Edisto River Adventures, Friends of the Edisto, Edisto TV, Nature Adventures Outfitters, Blueway Adventures, Local Residents","The issue of the lack of access to this long section of Edisto River has been discussed at length during the Edisto River Recreation Management Plan Public Input Meetings. Kevin Griffin the Colleton County Administrator, Dorchester County Parks and Recreation Director Eric Davis, as well as others are familiar with the project. They have shown support for the project, but funding and resources have been the issue preventing the project from progressing. The following entities are aware of the lack of access issue and landing improvement project: Dorchester County Parks and Recreation, Colleton County Parks and Recreation, National Park Service, South Carolina Parks, Recreation, and Tourism, Dorchester County Public Works, South Carolina Department of Natural Resources, Summerville Journal Scene, Audubon Society, Edisto River Canoe and Kayak Commission, Edisto River Adventures, Friends of the Edisto, Edisto TV, Nature Adventures Outfitters, Blueway Adventures, Local Residents",Improved river access for many citizens in a rural and low income area. If this project is completed it will provide river access to many residents local and non-local that currently does not exist.
EE Wilson Wildlife Area Fishing Pond Enhancements,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,Benton County,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)",,"This project will improve the parking lot at the EE Wilson Wildlife Area pond access point. The improvements at the parking lot will consist of the expansion of the lot along with paving and marking of dedicated spots. Along with the expansion of the lot ODFW will be adding two vault ADA restrooms to the property. One restroom will be placed near the parking lot, the other will be located at the pond which is ½ of a mile away from the parking lot. Additionally, repairs will be made to the pond outlet structure.. This project will also expand access to the wildlife area, which is managed for multiple use. The department completed significant improvements to the site in 2020, including dedicated ADA parking spots, trails, and fishing docks and platforms.",FY22,"Adair Village, OR",Oregon Department of Fish and Wildlife,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance Program,,"$250,001 - $500,000",300000,"Backpacking/Hiking,Biking,Boating,Fishing,Hunting,Canoeing, Kayaking and Rafting,Wildlife Watching,Archery",,"Communities of color,Youth,Adults,Senior,Disabled",New Concept,Yes,,Yes,"Oregon Department of Fish and Wildlife Restoration and Enhancement program grant funding available for 50% non-federal match. LWCF request would be in the $75,000-$125,000 range.","$0 - $250,000",Increased access. ADA accessibility.,"The site is on an Oregon Department of Fish and Wildlife wildlife area managed for multiple use. Additional recreational opportunities at the location include hunting, wildlife viewing, archery, shotgun range, hiking and biking. The location receives heavy use throughout the year.",EE Wilson wildlife area receives significant use from nearby communities. This project was identified as a priority project to increase fishing access. Restoration and Enhancement program projects are vetted with local communities for support.,"Improved access, wildlife viewing, ADA accessibility."
Expo Pond Improvements - Medford,,Oregon,Oregon Dept of Fish and Wildlife,Oregon,,Fishing/Boardwalk,,"Develop multiple ADA fishing platforms and docks connected to existing paths and trails within a Jackson County Park and adjacent to a new large RV park and the Jackson County Expo Center. The pond is located on county park property that was recently developed. It is adjacent to the Bear Creek Greenway, a 20-mile, paved, multi-use trail that links the cities of Ashland, Talent, Phoenix, Medford and Central Point. Platforms and boardwalks will also enhance wildlife viewing opportunities.",FY23 and Beyond,"Medford, OR",Oregon Department of Fish and Wildlife,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings",State and Local Assistance Program,,"$250,001 - $500,000",300000,"Backpacking/Hiking,Biking,Campground + Hospitality,Fishing,Wildlife Watching",,"Rural,Urban,Low-income,Communities of color,Youth,Adults,Senior,Disabled",New Concept,No,This project is in the initial planning stages and expected to be shovel ready before early 2023.,Yes,"Oregon Department of Fish and Wildlife Restoration and Enhancement grant funding available as non-federal match. LCFW funding request would be in the $50-150,000 range.","$0 - $250,000",,The project is located on Jackson County park property that was recently developed. Jackson County Parks actively manages the park and has plans to continue to improve and maintain the park.  This project was identified as a priority project to increase fishing access.,The project is located on Jackson County park property that was recently developed. Jackson County Parks plans to continue to improve and maintain the park.,"Improved access, rural development, ADA accessibility.  37% of households in Jackson County are below poverty level."
Gateway East Park,,New Mexico,City of Farmington,New Mexico,,Planning,State/Local park creation,"The City of Farmington's Parks Department commissioned a conceptual plan for a riverfront ""keynote"" park that would serve as a book end to its Visitor Center/Museum and a future private development for outdoor recreation/entertainment retail. It would include connectivity to our river trails system and provide a much improved location for our Citywide Farmers Market. In order to move forward with this beautiful park/gathering place in the heart of our City, we need to commission construction drawings based on the preferred concept.",FY23 and Beyond,Farmington,City of Farmington,,State and Local Assistance Program,,"$0 - $250,000",,"Canoeing, Kayaking and Rafting,Wildlife Watching,Other (please describe):",Agriculture,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,Yes,,No,,"$0 - $250,000","The City of Farmington also dedicated a 1/4 cent GRT to Community Transformation and Economic Development (CTED) fund, of which this project is a priority. The State SCORP cites the Northwest region the City of Farmington resides in as being low in local facilities meeting outdoor recreation needs.",The City of Farmington has a robust Parks and Cultural Affairs Department that is ready to provide needed management of the property.,"City Council approved the conceptual design and has kept this project as a CTED Priority. Likewise, the Farmers Market has long wished for a more cohesive and well developed place to call home (it is currently a parking lot and open dirt area).","Creating a central hub for access to healthy foods, gathering, and outdoor enjoyment!"
Grindstone Canyon Shared Use Path,,New Mexico,Village of Ruidoso,New Mexico,Lincoln County,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)",,A shared use pedestrian path that would provide a walking or biking connection from residential neihgborhoods and tourist lodging  to a Municipal  Lake/Recreation Area.,FY23 and Beyond,"Ruidoso, NM",Village of Ruidoso,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Increasing park access in urban settings",State and Local Assistance Program,,"$1,750,000+",,"Backpacking/Hiking,Biking,Boating,Campground + Hospitality,Equestrian,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching",,"Rural,Urban,Low-income,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,9-12 months,No,,"$1,750,000+","New Mexico Statewide Comprehensive Outdoor Plan 2016-2020 
Objective 2.2: Increase the rate of trail construction and support trail maintenance training and techniques.
Actions
Construct previously planned local trails within communities.
Objective 2.3: Improve local non-motorized transportation connectivity (sidewalks, trails, etc.) to parks and other community destinations by creating safe neighborhood access routes.
Actions
Develop recreation facilities that include alternative transportation and infrastructure options and “Safe Routes to Everywhere” principles.",Not only is this an action item of the Statewide Comprehensive Outdoor plan but also with the local South Central Mountain Economic Development Association's Economic Development Plan completed in 2016.,Increased Outdoor Recreation was a goal of the 2106 South Central Mountain Economic Development Association's Economic Development Plan. Leaders from Lincoln and Otero  Counties as well as surrounding municipalities participated in this preparing this plan.,The project would provide alternative transportation options for area neighborhoods and providing an increased participant capacity  that current facility parking does not allow.
Infrastructure Development in Historic Fort Bayard,,New Mexico,Village of Santa Clara,New Mexico,Grant County,Combination (Acquisition and Development),Other (please describe on next page):,"Development of campground, RV park, event space, disc golf, multi-use trails, archery range, equestrian stables, and open space to rejuvenate Historic Fort Bayard near the Village of Santa Clara, NM",FY23 and Beyond,Santa Clara,Village of Santa Clara,,State and Local Assistance,"To restore and repurpose Fort Bayard National Historic Landmark for recreation purposes, and economic growth.","$1,750,000+",23395481,"Backpacking/Hiking,Biking,Campground + Hospitality,Equestrian,Fishing,Motorized Use,Wildlife Watching,Archery",,"Rural,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",New Concept,No,"Need to find funding for design, to make shovel ready",No,,,,"The Village of Santa Clara, has received support from the City of Bayard, Town of Hurley, Town of Silver City, and Grant County.  The Village also has support of numerous community organizations.",The Village has support from its local and State Elected Officials,"The project will create economic development for the region, along with outdoor recreation opportunities."
Animas River Enhancement Plan,,New Mexico,City of Aztec,New Mexico,New Mexico,Development,"Beach/Harbor/Marina (boathouses, beaches piers/pavilions, boat launches)","Phase 2 of our Animas River Enhancement Plan will include the repair and replacement of river bank gabions on the south side of Hartman Park. The gabions have colapsed and the banks are faulty. This will be directly across from Animas River restoration project which is now in process (DFA Project #D2428). The overall goal is to restore the portion of the river the City maintains, and create safe recreation in the Animas waterway by deepening the channel, removing debris, creating ingress and egress and repair an irrigation weir.",FY23 and Beyond,Aztec,NMED & San Juan Watershed Group,,State and Local Assistance Program,,"$500,001 - $750,000",,"Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Sailing/Motorboating",,"Rural,Urban,Low-income,Tribal/Native American,Youth,Adults",New Concept,No,We will begin the application for 319 funding in the summer of 2021.,No,,,Improving river waterways for recreation purposes,Discussions with San Juan Watershed Group,,"The river corridor is used for fishing, and swimming mostly by youths. It is an inexpensive way to cool off in the summer. Unfortunately, in its current state, the river under our control has multiple safety and access isssues."
